id,label,faction
Писаренко В.В.(Взржд),Писаренко В.В.(Взржд),Взржд
Святаш Д.В.(Взржд),Святаш Д.В.(Взржд),Взржд
Парубий А.В.(Вне_Фр),Парубий А.В.(Вне_Фр),Вне_Фр
Черненко А.Н.(БПП),Черненко А.Н.(БПП),БПП
Емец Л.А.(НФ),Емец Л.А.(НФ),НФ
Шухевич Ю.Р.(РпОЛ),Шухевич Ю.Р.(РпОЛ),РпОЛ
Геращенко И.В.(Вне_Фр),Геращенко И.В.(Вне_Фр),Вне_Фр
Третьяков А.Ю.(БПП),Третьяков А.Ю.(БПП),БПП
Луценко И.С.(БПП),Луценко И.С.(БПП),БПП
Билецкий А.Е.(Вне_Фр),Билецкий А.Е.(Вне_Фр),Вне_Фр
Петренко О.Н.(БПП),Петренко О.Н.(БПП),БПП
Бурбак М.Ю.(НФ),Бурбак М.Ю.(НФ),НФ
Загорий Г.В.(БПП),Загорий Г.В.(БПП),БПП
Ляшко О.В.(РпОЛ),Ляшко О.В.(РпОЛ),РпОЛ
Рибчинский Е.Ю.(Вне_Фр),Рибчинский Е.Ю.(Вне_Фр),Вне_Фр
Гаврилюк М.В.(НФ),Гаврилюк М.В.(НФ),НФ
Суслова И.Н.(БПП),Суслова И.Н.(БПП),БПП
Шевченко А.Л.(Вне_Фр),Шевченко А.Л.(Вне_Фр),Вне_Фр
Шевченко В.Л.(Вне_Фр),Шевченко В.Л.(Вне_Фр),Вне_Фр
Чубаров Р.А.(БПП),Чубаров Р.А.(БПП),БПП
Саврасов М.В.(БПП),Саврасов М.В.(БПП),БПП
Корчинская О.А.(РпОЛ),Корчинская О.А.(РпОЛ),РпОЛ
Гузь И.В.(НФ),Гузь И.В.(НФ),НФ
Арьев В.И.(БПП),Арьев В.И.(БПП),БПП
Кираль С.И.(СмПм),Кираль С.И.(СмПм),СмПм
Гопко А.Н.(Вне_Фр),Гопко А.Н.(Вне_Фр),Вне_Фр
Вовк В.И.(РпОЛ),Вовк В.И.(РпОЛ),РпОЛ
Ионова М.Н.(БПП),Ионова М.Н.(БПП),БПП
Сотник Е.С.(СмПм),Сотник Е.С.(СмПм),СмПм
Княжицкий Н.Л.(НФ),Княжицкий Н.Л.(НФ),НФ
Сочка А.А.(НФ),Сочка А.А.(НФ),НФ
Бригинец А.М.(БПП),Бригинец А.М.(БПП),БПП
Денисенко В.И.(БПП),Денисенко В.И.(БПП),БПП
Рябчин А.М.(Бтк),Рябчин А.М.(Бтк),Бтк
Геращенко А.Ю.(НФ),Геращенко А.Ю.(НФ),НФ
Герасимов А.В.(БПП),Герасимов А.В.(БПП),БПП
Продан О.П.(БПП),Продан О.П.(БПП),БПП
Сюмар В.П.(НФ),Сюмар В.П.(НФ),НФ
Острикова Т.Г.(СмПм),Острикова Т.Г.(СмПм),СмПм
Заружко В.Л.(РпОЛ),Заружко В.Л.(РпОЛ),РпОЛ
Шкрум А.И.(Бтк),Шкрум А.И.(Бтк),Бтк
Ивченко В.Е.(Бтк),Ивченко В.Е.(Бтк),Бтк
Евтушок С.Н.(Бтк),Евтушок С.Н.(Бтк),Бтк
Берёза Б.Е.(Вне_Фр),Берёза Б.Е.(Вне_Фр),Вне_Фр
Бандуров В.В.(Вл_Нр),Бандуров В.В.(Вл_Нр),Вл_Нр
Звягильский Е.Л.(ОпБл),Звягильский Е.Л.(ОпБл),ОпБл
Пидлисецкий Л.Т.(СмПм),Пидлисецкий Л.Т.(СмПм),СмПм
Домбровский А.Г.(БПП),Домбровский А.Г.(БПП),БПП
Белькова О.В.(БПП),Белькова О.В.(БПП),БПП
Бондарь М.Л.(НФ),Бондарь М.Л.(НФ),НФ
Батенко Т.И.(Вне_Фр),Батенко Т.И.(Вне_Фр),Вне_Фр
Войцицкая В.М.(СмПм),Войцицкая В.М.(СмПм),СмПм
Лопушанский А.Я.(БПП),Лопушанский А.Я.(БПП),БПП
Ищейкин К.Е.(БПП),Ищейкин К.Е.(БПП),БПП
Молоток И.Ф.(Вл_Нр),Молоток И.Ф.(Вл_Нр),Вл_Нр
Горбунов А.В.(НФ),Горбунов А.В.(НФ),НФ
Шкварилюк В.В.(НФ),Шкварилюк В.В.(НФ),НФ
Крулько И.И.(Бтк),Крулько И.И.(Бтк),Бтк
Пастух Т.Т.(СмПм),Пастух Т.Т.(СмПм),СмПм
Винник И.Ю.(БПП),Винник И.Ю.(БПП),БПП
Рычкова Т.Б.(БПП),Рычкова Т.Б.(БПП),БПП
Тетерук А.А.(НФ),Тетерук А.А.(НФ),НФ
Береза Ю.Н.(НФ),Береза Ю.Н.(НФ),НФ
Юринец О.В.(БПП),Юринец О.В.(БПП),БПП
Мамчур Ю.В.(БПП),Мамчур Ю.В.(БПП),БПП
Савка И.И.(НФ),Савка И.И.(НФ),НФ
Кондратюк Е.К.(Бтк),Кондратюк Е.К.(Бтк),Бтк
Кривошея Г.Г.(НФ),Кривошея Г.Г.(НФ),НФ
Величкович Н.Р.(НФ),Величкович Н.Р.(НФ),НФ
Билозир О.В.(БПП),Билозир О.В.(БПП),БПП
Тимошенко Ю.В.(НФ),Тимошенко Ю.В.(НФ),НФ
Унгурян П.Я.(НФ),Унгурян П.Я.(НФ),НФ
Еленский В.Е.(НФ),Еленский В.Е.(НФ),НФ
Алексеев С.О.(БПП),Алексеев С.О.(БПП),БПП
Алексеев И.С.(НФ),Алексеев И.С.(НФ),НФ
Буглак Ю.А.(БПП),Буглак Ю.А.(БПП),БПП
Карпунцов В.В.(БПП),Карпунцов В.В.(БПП),БПП
Луценко И.В.(Бтк),Луценко И.В.(Бтк),Бтк
Мосийчук И.В.(РпОЛ),Мосийчук И.В.(РпОЛ),РпОЛ
Найєм Мустафа-Масі,Найєм Мустафа-Масі,
Павленко Ю.А.(ОпБл),Павленко Ю.А.(ОпБл),ОпБл
Шахов С.В.(Вл_Нр),Шахов С.В.(Вл_Нр),Вл_Нр
Шипко А.Ф.(Взржд),Шипко А.Ф.(Взржд),Взржд
Шпенов Д.Ю.(ОпБл),Шпенов Д.Ю.(ОпБл),ОпБл
Яницкий В.П.(БПП),Яницкий В.П.(БПП),БПП
Куприенко О.В.(РпОЛ),Куприенко О.В.(РпОЛ),РпОЛ
Силантьев Д.О.(РпОЛ),Силантьев Д.О.(РпОЛ),РпОЛ
Недава О.А.(БПП),Недава О.А.(БПП),БПП
Лубинец Д.В.(БПП),Лубинец Д.В.(БПП),БПП
Ливик А.П.(БПП),Ливик А.П.(БПП),БПП
Розенблат Б.С.(БПП),Розенблат Б.С.(БПП),БПП
Немировский А.В.(БПП),Немировский А.В.(БПП),БПП
Чекита Г.Л.(БПП),Чекита Г.Л.(БПП),БПП
Скуратовский С.И.(РпОЛ),Скуратовский С.И.(РпОЛ),РпОЛ
Войцеховская С.М.(НФ),Войцеховская С.М.(НФ),НФ
Спиваковский А.В.(БПП),Спиваковский А.В.(БПП),БПП
Киссе А.И.(Взржд),Киссе А.И.(Взржд),Взржд
Мацола Р.Н.(БПП),Мацола Р.Н.(БПП),БПП
Макар'ян Давид Борисович,Макар'ян Давид Борисович,
Чепинога В.М.(БПП),Чепинога В.М.(БПП),БПП
Геллер Е.Б.(Взржд),Геллер Е.Б.(Взржд),Взржд
Вадатурский А.А.(БПП),Вадатурский А.А.(БПП),БПП
Дзюблик П.В.(НФ),Дзюблик П.В.(НФ),НФ
Кобцев М.В.(БПП),Кобцев М.В.(БПП),БПП
Валентиров С.В.(БПП),Валентиров С.В.(БПП),БПП
Рудик С.Я.(БПП),Рудик С.Я.(БПП),БПП
Папиев М.Н.(ОпБл),Папиев М.Н.(ОпБл),ОпБл
Киселев А.Н.(ОпБл),Киселев А.Н.(ОпБл),ОпБл
Долженков А.В.(ОпБл),Долженков А.В.(ОпБл),ОпБл
Дубневич Б.В.(БПП),Дубневич Б.В.(БПП),БПП
Побер И.Н.(БПП),Побер И.Н.(БПП),БПП
Белоцерковец Д.А.(БПП),Белоцерковец Д.А.(БПП),БПП
Лещенко С.А.(БПП),Лещенко С.А.(БПП),БПП
Куренной В.К.(БПП),Куренной В.К.(БПП),БПП
Кожем'якін Андрій Анатолійович,Кожем'якін Андрій Анатолійович,
Тимошенко Ю.В.(Бтк),Тимошенко Ю.В.(Бтк),Бтк
Березюк О.Р.(СмПм),Березюк О.Р.(СмПм),СмПм
Сыроед О.И.(Вне_Фр),Сыроед О.И.(Вне_Фр),Вне_Фр
Нечаев А.И.(ОпБл),Нечаев А.И.(ОпБл),ОпБл
Галасюк В.В.(РпОЛ),Галасюк В.В.(РпОЛ),РпОЛ
Хмель М.М.(НФ),Хмель М.М.(НФ),НФ
Дубинин А.И.(Вне_Фр),Дубинин А.И.(Вне_Фр),Вне_Фр
Гиршфельд А.М.(Вл_Нр),Гиршфельд А.М.(Вл_Нр),Вл_Нр
Васюник И.В.(НФ),Васюник И.В.(НФ),НФ
Кужель А.В.(Бтк),Кужель А.В.(Бтк),Бтк
Маткивский Б.М.(Вне_Фр),Маткивский Б.М.(Вне_Фр),Вне_Фр
Сташук В.Ф.(НФ),Сташук В.Ф.(НФ),НФ
Головко М.И.(Вне_Фр),Головко М.И.(Вне_Фр),Вне_Фр
Соловей Ю.И.(БПП),Соловей Ю.И.(БПП),БПП
Мельниченко В.В.(БПП),Мельниченко В.В.(БПП),БПП
Шинькович А.В.(БПП),Шинькович А.В.(БПП),БПП
Чумак В.В.(Вне_Фр),Чумак В.В.(Вне_Фр),Вне_Фр
Новак Н.В.(БПП),Новак Н.В.(БПП),БПП
Пташник В.Ю.(Вне_Фр),Пташник В.Ю.(Вне_Фр),Вне_Фр
Левченко Ю.В.(Вне_Фр),Левченко Ю.В.(Вне_Фр),Вне_Фр
Ильенко А.Ю.(Вне_Фр),Ильенко А.Ю.(Вне_Фр),Вне_Фр
Осуховский О.И.(Вне_Фр),Осуховский О.И.(Вне_Фр),Вне_Фр
Семенуха Р.С.(СмПм),Семенуха Р.С.(СмПм),СмПм
Безбах Я.Я.(Вне_Фр),Безбах Я.Я.(Вне_Фр),Вне_Фр
Барвиненко В.Д.(Взржд),Барвиненко В.Д.(Взржд),Взржд
Дейдей Е.С.(НФ),Дейдей Е.С.(НФ),НФ
Мирошниченко Ю.Р.(ОпБл),Мирошниченко Ю.Р.(ОпБл),ОпБл
Мисик В.Ю.(Взржд),Мисик В.Ю.(Взржд),Взржд
Бухарев В.В.(Бтк),Бухарев В.В.(Бтк),Бтк
Южанина Н.П.(БПП),Южанина Н.П.(БПП),БПП
Евлахов А.С.(БПП),Евлахов А.С.(БПП),БПП
Лаврик Н.И.(БПП),Лаврик Н.И.(БПП),БПП
Мирошниченко И.В.(СмПм),Мирошниченко И.В.(СмПм),СмПм
Беловол А.Н.(Взржд),Беловол А.Н.(Взржд),Взржд
Березкин С.С.(Взржд),Березкин С.С.(Взржд),Взржд
Кулинич О.И.(Взржд),Кулинич О.И.(Взржд),Взржд
Констанкевич И.М.(Вне_Фр),Констанкевич И.М.(Вне_Фр),Вне_Фр
Кремень Т.Д.(НФ),Кремень Т.Д.(НФ),НФ
Кириленко И.Г.(Бтк),Кириленко И.Г.(Бтк),Бтк
Литвин В.М.(Вл_Нр),Литвин В.М.(Вл_Нр),Вл_Нр
Скрипник А.А.(СмПм),Скрипник А.А.(СмПм),СмПм
Поплавский М.М.(Вл_Нр),Поплавский М.М.(Вл_Нр),Вл_Нр
Джемілєв Мустафа,Джемілєв Мустафа,
Власенко С.В.(Бтк),Власенко С.В.(Бтк),Бтк
Подоляк И.И.(СмПм),Подоляк И.И.(СмПм),СмПм
Бакуменко А.Б.(БПП),Бакуменко А.Б.(БПП),БПП
Лабазюк С.П.(Вл_Нр),Лабазюк С.П.(Вл_Нр),Вл_Нр
Кучер Н.И.(БПП),Кучер Н.И.(БПП),БПП
Юрчишин П.В.(БПП),Юрчишин П.В.(БПП),БПП
Тарасюк Б.И.(Бтк),Тарасюк Б.И.(Бтк),Бтк
Залищук С.П.(БПП),Залищук С.П.(БПП),БПП
Присяжнюк А.А.(НФ),Присяжнюк А.А.(НФ),НФ
Тымчук Д.Б.(НФ),Тымчук Д.Б.(НФ),НФ
Кирш А.В.(НФ),Кирш А.В.(НФ),НФ
Логвинский Г.В.(НФ),Логвинский Г.В.(НФ),НФ
Давыденко В.Н.(БПП),Давыденко В.Н.(БПП),БПП
Люшняк Н.В.(БПП),Люшняк Н.В.(БПП),БПП
Хлань С.В.(БПП),Хлань С.В.(БПП),БПП
Заболотный Г.М.(БПП),Заболотный Г.М.(БПП),БПП
Бриченко И.В.(НФ),Бриченко И.В.(НФ),НФ
Кит А.Б.(БПП),Кит А.Б.(БПП),БПП
Петёвка В.В.(Вл_Нр),Петёвка В.В.(Вл_Нр),Вл_Нр
Лунченко В.В.(НФ),Лунченко В.В.(НФ),НФ
Дидыч В.В.(Вне_Фр),Дидыч В.В.(Вне_Фр),Вне_Фр
Мартыняк С.В.(Вл_Нр),Мартыняк С.В.(Вл_Нр),Вл_Нр
Гуляев В.А.(Взржд),Гуляев В.А.(Взржд),Взржд
Романова А.А.(СмПм),Романова А.А.(СмПм),СмПм
Опанасенко А.В.(СмПм),Опанасенко А.В.(СмПм),СмПм
Маркевич Я.В.(СмПм),Маркевич Я.В.(СмПм),СмПм
Диденко И.А.(СмПм),Диденко И.А.(СмПм),СмПм
Шверк Г.А.(БПП),Шверк Г.А.(БПП),БПП
Еднак О.В.(Вне_Фр),Еднак О.В.(Вне_Фр),Вне_Фр
Ледовских Е.В.(НФ),Ледовских Е.В.(НФ),НФ
Гончаренко А.А.(БПП),Гончаренко А.А.(БПП),БПП
Кудлаенко С.В.(БПП),Кудлаенко С.В.(БПП),БПП
Курило В.С.(БПП),Курило В.С.(БПП),БПП
Река А.А.(НФ),Река А.А.(НФ),НФ
Бублик Ю.В.(Вне_Фр),Бублик Ю.В.(Вне_Фр),Вне_Фр
Дехтярчук А.В.(БПП),Дехтярчук А.В.(БПП),БПП
Федорук Н.Т.(НФ),Федорук Н.Т.(НФ),НФ
Зубач Л.Л.(СмПм),Зубач Л.Л.(СмПм),СмПм
Бойко Е.П.(НФ),Бойко Е.П.(НФ),НФ
Соляр В.М.(НФ),Соляр В.М.(НФ),НФ
Бабак А.В.(СмПм),Бабак А.В.(СмПм),СмПм
Андриевский Д.И.(БПП),Андриевский Д.И.(БПП),БПП
Кодола А.М.(НФ),Кодола А.М.(НФ),НФ
Гальченко А.В.(ОпБл),Гальченко А.В.(ОпБл),ОпБл
Ревега А.В.(БПП),Ревега А.В.(БПП),БПП
Кривенко В.Н.(БПП),Кривенко В.Н.(БПП),БПП
Лозовой А.С.(РпОЛ),Лозовой А.С.(РпОЛ),РпОЛ
Грынив И.А.(БПП),Грынив И.А.(БПП),БПП
Палатный А.Л.(БПП),Палатный А.Л.(БПП),БПП
Амельченко В.В.(РпОЛ),Амельченко В.В.(РпОЛ),РпОЛ
Кадыкало Н.О.(НФ),Кадыкало Н.О.(НФ),НФ
Лесюк Я.В.(БПП),Лесюк Я.В.(БПП),БПП
Голуб В.В.(Вне_Фр),Голуб В.В.(Вне_Фр),Вне_Фр
Добродомов Д.Е.(Вне_Фр),Добродомов Д.Е.(Вне_Фр),Вне_Фр
Линько Д.В.(РпОЛ),Линько Д.В.(РпОЛ),РпОЛ
Чижмарь Ю.В.(РпОЛ),Чижмарь Ю.В.(РпОЛ),РпОЛ
Вознюк Ю.В.(НФ),Вознюк Ю.В.(НФ),НФ
Паламарчук Н.П.(БПП),Паламарчук Н.П.(БПП),БПП
Мусий О.С.(Вне_Фр),Мусий О.С.(Вне_Фр),Вне_Фр
Кишкар П.Н.(БПП),Кишкар П.Н.(БПП),БПП
Рыбак И.П.(БПП),Рыбак И.П.(БПП),БПП
Демчак Р.Е.(БПП),Демчак Р.Е.(БПП),БПП
Бабий Ю.Ю.(НФ),Бабий Ю.Ю.(НФ),НФ
Соболев Е.В.(СмПм),Соболев Е.В.(СмПм),СмПм
Соболев С.В.(Бтк),Соболев С.В.(Бтк),Бтк
Князевич Р.П.(БПП),Князевич Р.П.(БПП),БПП
Немыря Г.М.(Бтк),Немыря Г.М.(Бтк),Бтк
